treatment,applytime,rate,rep,yield
Handweedingtwice,15and35,.,1,3202
Handweedingtwice,15and35,.,2,3060
Handweedingtwice,15and35,.,3,2240
Handweedingtwice,15and35,.,4,2690
"Proapnil/2,4-D",28,3,1,2308
"Proapnil/2,4-D",28,3,2,2335
"Proapnil/2,4-D",28,3,3,1975
"Proapnil/2,4-D",28,3,1,3390
"Proapnil/2,4-D",28,3,2,2875
"Proapnil/2,4-D",28,3,3,2775
Propanil/Bromoxynil,14,8,1,2797
Propanil/Bromoxynil,14,8,2,3001
Propanil/Bromoxynil,14,8,3,2505
Propanil/Bromoxynil,14,8,4,3490
Propanil/Bromoxynil,21,8,1,3187
Propanil/Bromoxynil,21,8,2,4610
Propanil/Bromoxynil,21,8,3,3562
Propanil/Bromoxynil,21,8,4,3217
Propanil/Bromoxynil,28,8,1,2858
Propanil/Bromoxynil,28,8,2,2895
Propanil/Bromoxynil,28,8,3,2458
Propanil/Bromoxynil,28,8,4,1723
Propanil/Ioxynil,14,4,1,2832
Propanil/Ioxynil,14,4,2,3103
Propanil/Ioxynil,14,4,3,3448
Propanil/Ioxynil,14,4,4,2255
Propanil/Ioxynil,28,4,1,2013
Propanil/Ioxynil,28,4,2,1788
Propanil/Ioxynil,28,4,3,2248
Propanil/Ioxynil,28,4,4,2115
Proapnil/CHCH,21,2,1,2233
Proapnil/CHCH,21,2,2,2743
Proapnil/CHCH,21,2,3,2727
Phenyedipham,14,1.5,1,2952
Phenyedipham,14,1.5,2,2272
Phenyedipham,14,1.5,3,2470
CK,.,.,1,1192
CK,.,.,2,1652
CK,.,.,3,1075
CK,.,.,4,1030
